0.000000000000000000e+00,5.450000000000000400e-01
1.000000000000000021e-03,5.449734526774103749e-01
2.000000000000000042e-03,5.449208556759819189e-01
3.000000000000000062e-03,5.448397803320453869e-01
4.000000000000000083e-03,5.447288047350044016e-01
5.000000000000000104e-03,5.445880886784350006e-01
6.000000000000000125e-03,5.444200783150867640e-01
7.000000000000000146e-03,5.442264144037101126e-01
8.000000000000000167e-03,5.440089933413998491e-01
9.000000000000001055e-03,5.437698072848515807e-01
1.000000000000000021e-02,5.435107782921627662e-01
1.099999999999999936e-02,5.432357596406518496e-01
1.200000000000000025e-02,5.429458111904362783e-01
1.300000000000000114e-02,5.426418590709360945e-01
1.400000000000000203e-02,5.423247252217144876e-01
1.499999999999999944e-02,5.419951439623323930e-01
1.600000000000000033e-02,5.416615627988593529e-01
1.700000000000000122e-02,5.413231136779377284e-01
1.800000000000000211e-02,5.409791527366840658e-01
1.900000000000000300e-02,5.406292102046142967e-01
2.000000000000000042e-02,5.402729467215573456e-01
2.100000000000000130e-02,5.399182842081644562e-01
2.200000000000000219e-02,5.395635914570999780e-01
2.300000000000000308e-02,5.392075611204569796e-01
2.400000000000000397e-02,5.388491373986122879e-01
2.500000000000000139e-02,5.384874605184729601e-01
2.600000000000000228e-02,5.381288180868516458e-01
2.700000000000000316e-02,5.377714866432201646e-01
2.800000000000000405e-02,5.374140341188758940e-01
2.900000000000000494e-02,5.370552610303437335e-01
3.000000000000000236e-02,5.366941552040201957e-01
3.100000000000000325e-02,5.363305492730909840e-01
3.200000000000000067e-02,5.359636152307251100e-01
3.300000000000000155e-02,5.355926437976866739e-01
3.400000000000000244e-02,5.352170240967228931e-01
3.500000000000000333e-02,5.348362274251783344e-01
3.600000000000000422e-02,5.344493405428376587e-01
3.700000000000000511e-02,5.340560718632988424e-01
3.800000000000000600e-02,5.336561658666103547e-01
3.900000000000000688e-02,5.332493975619402304e-01
4.000000000000000083e-02,5.328355679054396221e-01
4.100000000000000172e-02,5.324143417208128115e-01
4.200000000000000261e-02,5.319855995692707173e-01
4.300000000000000350e-02,5.315492318827576002e-01
4.400000000000000439e-02,5.311051377144476726e-01
4.499999999999999833e-02,5.306532236769159194e-01
4.599999999999999922e-02,5.301930517547490673e-01
4.700000000000000011e-02,5.297246011822266398e-01
4.800000000000000100e-02,5.292478470422086190e-01
4.900000000000000189e-02,5.287627611115126580e-01
4.999999999999999584e-02,5.282693125680437696e-01
5.099999999999999672e-02,5.277671572634765607e-01
5.199999999999999761e-02,5.272563106139780409e-01
5.299999999999999850e-02,5.267367791837787028e-01
5.399999999999999939e-02,5.262085622142582686e-01
5.499999999999999334e-02,5.256716529077777311e-01
5.599999999999999423e-02,5.251257643131413966e-01
5.699999999999999512e-02,5.245709179443724945e-01
5.799999999999999600e-02,5.240071261918077816e-01
5.899999999999999689e-02,5.234343938880224867e-01
5.999999999999999084e-02,5.228527196236688601e-01
6.099999999999999173e-02,5.222618041950282120e-01
6.199999999999999262e-02,5.216616742227327963e-01
6.299999999999998657e-02,5.210523470333143781e-01
6.399999999999998745e-02,5.204338322608312861e-01
6.499999999999998834e-02,5.198061331937375851e-01
6.599999999999998923e-02,5.191689207607920187e-01
6.699999999999999012e-02,5.185222334175667580e-01
6.799999999999999101e-02,5.178660991009349512e-01
6.899999999999999190e-02,5.172005370217874765e-01
6.999999999999999278e-02,5.165255591751707342e-01
7.099999999999999367e-02,5.158408188903575997e-01
7.199999999999999456e-02,5.151463700397952428e-01
7.299999999999999545e-02,5.144422541657281966e-01
7.399999999999999634e-02,5.137285025387199333e-01
7.499999999999999722e-02,5.130051378960098774e-01
7.599999999999999811e-02,5.122718065244739050e-01
7.699999999999999900e-02,5.115285778457645538e-01
7.799999999999999989e-02,5.107755070068032976e-01
7.900000000000000078e-02,5.100126372213230619e-01
8.000000000000000167e-02,5.092400017505835930e-01
8.100000000000000255e-02,5.084572438901217017e-01
8.200000000000000344e-02,5.076644468861079007e-01
8.300000000000000433e-02,5.068616778954263546e-01
8.400000000000000522e-02,5.060489905942043842e-01
8.500000000000000611e-02,5.052264273857509647e-01
8.600000000000000699e-02,5.043936322332055466e-01
8.700000000000000788e-02,5.035506991748623928e-01
8.800000000000000877e-02,5.026977047158207590e-01
8.900000000000000966e-02,5.018347106481031439e-01
9.000000000000001055e-02,5.009617664380867641e-01
9.100000000000001144e-02,5.000785183042574245e-01
9.200000000000001232e-02,4.991850682074930878e-01
9.300000000000001321e-02,4.982814994889808169e-01
9.400000000000001410e-02,4.973678798501297571e-01
9.500000000000001499e-02,4.964442638750159453e-01
9.600000000000001588e-02,4.955102991101543175e-01
9.700000000000001676e-02,4.945660934406053144e-01
9.800000000000001765e-02,4.936117352875483144e-01
9.900000000000001854e-02,4.926472967129610359e-01
1.000000000000000194e-01,4.916728360473117121e-01
1.010000000000000203e-01,4.906879995438001574e-01
1.020000000000000212e-01,4.896928999198042476e-01
1.030000000000000221e-01,4.886876297028992511e-01
1.040000000000000230e-01,4.876722644438700183e-01
1.050000000000000239e-01,4.866468654358668822e-01
1.060000000000000248e-01,4.856110785264660112e-01
1.070000000000000256e-01,4.845650202487634672e-01
1.080000000000000265e-01,4.835087863455764801e-01
1.090000000000000274e-01,4.824424550719393912e-01
1.100000000000000283e-01,4.813660899900299439e-01
1.110000000000000292e-01,4.802793410711488908e-01
1.120000000000000301e-01,4.791823269289487985e-01
1.130000000000000310e-01,4.780751450394870039e-01
1.140000000000000319e-01,4.769578750947154333e-01
1.150000000000000328e-01,4.758305818406944887e-01
1.160000000000000336e-01,4.746929218222378788e-01
1.170000000000000345e-01,4.735450137106946844e-01
1.180000000000000354e-01,4.723869550252792759e-01
1.190000000000000363e-01,4.712188254842711865e-01
1.200000000000000372e-01,4.700406898418214574e-01
1.210000000000000381e-01,4.688522104873503737e-01
