2.000000000000000042e-03,3.575411980097054077e-02,1.787705990048527127e+01,8.938529950242635095e+03,1.600000023841857910e+01
4.000000000000000083e-03,7.886482479763551323e-02,2.155535249833248912e+01,1.839146298923607901e+03,6.346387892156531763e+00
6.000000000000000125e-03,1.213823987494715706e-01,2.125878697591803146e+01,-1.482827612072286172e+02,3.645027493299622279e+00
8.000000000000000167e-03,1.616007298140607340e-01,2.010916553229458259e+01,-5.748107218117247612e+02,2.942958775470133403e+00
1.000000000000000021e-02,1.994070412002851289e-01,1.890315569311220401e+01,-6.030049195911885818e+02,2.713402875990073682e+00
1.200000000000000025e-02,2.350076432034755303e-01,1.780030100159520146e+01,-5.514273457585018150e+02,2.560281567856776519e+00
1.400000000000000029e-02,2.686367807795790874e-01,1.681456878805178690e+01,-4.928661067717067681e+02,2.399696873551466325e+00
1.600000000000000033e-02,3.005003171826142183e-01,1.593176820151756701e+01,-4.414002932671100439e+02,2.219980228801103905e+00
1.800000000000000211e-02,3.307705537639173965e-01,1.513511829065159553e+01,-3.983249554329853481e+02,2.024109794007511454e+00
2.000000000000000389e-02,3.595908027201103474e-01,1.441012447809646702e+01,-3.624969062775638236e+02,1.817030017814432519e+00
2.200000000000000566e-02,3.807333585663858488e-01,1.057127792313774250e+01,-1.919423277479362696e+03,-5.859695485528076730e+00
2.400000000000000744e-02,3.972724218348090974e-01,8.269531634211624294e+00,-1.150873144463058679e+03,-4.363123324974225170e+00
2.600000000000000921e-02,4.107865343169994077e-01,6.757056241095146909e+00,-7.562376965582386674e+02,-3.543031445879631036e+00
2.800000000000001099e-02,4.221651579966799184e-01,5.689311839840248908e+00,-5.338722006274491605e+02,-3.057075998965198327e+00
3.000000000000001277e-02,4.319425154515516563e-01,4.888678727435857851e+00,-4.003165562021957271e+02,-2.750776271931359318e+00
3.200000000000001454e-02,4.404556721115372997e-01,4.256578329992813714e+00,-3.160501987215218946e+02,-2.546006864826598992e+00
3.400000000000001632e-02,4.479265048063474364e-01,3.735416347405082327e+00,-2.605809912938656225e+02,-2.400219799304789348e+00
3.600000000000001810e-02,4.545070144008129254e-01,3.290254797232750494e+00,-2.225807750861658576e+02,-2.289055461907126610e+00
3.800000000000001987e-02,4.603055706763208299e-01,2.899278137753957818e+00,-1.954883297393963346e+02,-2.198084878710270473e+00
4.000000000000002165e-02,4.654026535303334433e-01,2.548541427006313587e+00,-1.753683553738220553e+02,-2.118567674481032448e+00
4.200000000000002343e-02,4.716305876781197726e-01,3.113967073893158855e+00,2.827128234434226215e+02,3.843125587228064965e+00
4.400000000000002520e-02,4.786182843250107455e-01,3.493848323445487569e+00,1.899406247761642703e+02,3.435854080828915968e+00
4.600000000000002698e-02,4.861178920774117951e-01,3.749803876200533903e+00,1.279777763775232131e+02,3.106159523114932597e+00
4.800000000000002875e-02,4.939644658778643560e-01,3.923286900226268248e+00,8.674151201286716173e+01,2.828189591689387328e+00
5.000000000000003053e-02,5.020475246707740702e-01,4.041529396454857093e+00,5.912124811429455207e+01,2.584516603667469603e+00
5.200000000000003231e-02,5.102918891691482495e-01,4.122182249187086533e+00,4.032642636611480214e+01,2.363734179694980675e+00
5.400000000000003408e-02,5.186450845104279006e-01,4.176597670639807802e+00,2.720771072636064858e+01,2.158520463361382813e+00
5.600000000000003586e-02,5.270691693468461114e-01,4.212042418209092531e+00,1.772237378464219049e+01,1.964248845809429156e+00
5.800000000000003764e-02,5.355354759833753642e-01,4.233153318264625042e+00,1.055545002776628394e+01,1.778044775296422131e+00
6.000000000000003941e-02,5.440212403798275753e-01,4.242882198226078927e+00,4.864439980727063073e+00,1.598163192538070820e+00
6.200000000000004119e-02,5.511923819175433836e-01,3.585570768857922808e+00,-3.286557146840780774e+02,-1.831392807954708157e+00
6.400000000000004297e-02,5.573895220984158572e-01,3.098570090436242097e+00,-2.435003392108403375e+02,-1.646159924024946264e+00
6.600000000000004474e-02,5.628488247048152315e-01,2.729651303199684076e+00,-1.844593936182790515e+02,-1.526602388431555379e+00
6.800000000000004652e-02,5.677358870635513810e-01,2.443531179368064521e+00,-1.430600619158097118e+02,-1.451329046941263856e+00
7.000000000000004829e-02,5.721673186705270586e-01,2.215715803487829039e+00,-1.139076879401176825e+02,-1.406010232200177068e+00
7.200000000000005007e-02,5.762251284049813016e-01,2.028904867227128594e+00,-9.340546813035015816e+01,-1.380731176399572879e+00
7.400000000000005185e-02,5.799666631980772147e-01,1.870767396547956984e+00,-7.906873533958582811e+01,-1.368481902958307517e+00
7.600000000000005362e-02,5.834316514458446346e-01,1.732494123883695947e+00,-6.913663633213053572e+01,-1.364243863480639973e+00
7.800000000000005540e-02,5.866472798842956582e-01,1.607814219225521368e+00,-6.233995232908723949e+01,-1.364406992103857963e+00
8.000000000000005718e-02,5.896318891610184965e-01,1.492304638361409808e+00,-5.775479043205577057e+01,-1.366379608543791147e+00
8.200000000000005895e-02,5.937382742291588134e-01,2.053192534070139796e+00,2.804439478543649216e+02,8.982974334570794639e-01
8.400000000000006073e-02,5.985545773631718580e-01,2.408151567006498794e+00,1.774795164681794120e+02,5.357257842399081316e-01
8.600000000000006251e-02,6.037860246473746306e-01,2.615723642101403623e+00,1.037860375474524659e+02,2.619202050914677393e-01
8.800000000000006428e-02,6.092251976619297293e-01,2.719586507277560905e+00,5.193143258807862139e+01,5.350522185995987279e-02
9.000000000000006606e-02,6.147279937540193195e-01,2.751398046044778667e+00,1.590576938360889514e+01,-1.072096710192207425e-01
9.200000000000006783e-02,6.201953946160738695e-01,2.733700431027255018e+00,-8.848807508761751706e+00,-2.331713622446214274e-01
