9.841639990918338299e-02,5.900949996430426836e-02,5.658870004117488861e-02,5.542819993570446968e-02
9.441399993374943733e-02,5.907889991067349911e-02,5.291640001814812422e-02,5.812539998441934586e-02
9.357330005150288343e-02,5.911799997556954622e-02,5.437450006138533354e-02,5.424889991991221905e-02
1.245521000819280744e-01,6.040459999348968267e-02,6.131169991567730904e-02,5.192869994789361954e-02
9.229489997960627079e-02,6.137530005071312189e-02,5.305530002806335688e-02,5.299700004979968071e-02
9.113870002329349518e-02,7.259100000374019146e-02,5.366860004141926765e-02,5.507550004404038191e-02
9.152899996843189001e-02,6.198829994536936283e-02,5.315210006665438414e-02,6.319359992630779743e-02
1.169126000022515655e-01,6.415220000781118870e-02,5.234679998829960823e-02,5.810780008323490620e-02
9.457730001304298639e-02,6.045600003562867641e-02,5.430149997118860483e-02,6.171859998721629381e-02
9.407470002770423889e-02,5.661349999718368053e-02,5.792070005554705858e-02,5.550180003046989441e-02
1.270366000244393945e-01,5.446869996376335621e-02,5.470019998028874397e-02,6.070540007203817368e-02
1.257551999296993017e-01,5.882180004846304655e-02,5.317159998230636120e-02,5.224390001967549324e-02
1.239471000153571367e-01,5.643019999843090773e-02,5.281909997574985027e-02,5.749169993214309216e-02
1.082132000010460615e-01,5.977619998157024384e-02,5.837930005509406328e-02,5.761349992826581001e-02
1.274561999598518014e-01,6.589129997882992029e-02,5.668140004854649305e-02,5.093220004346221685e-02
1.014858999988064170e-01,6.021809997037053108e-02,5.205119994934648275e-02,5.113159993197768927e-02
1.220227999147027731e-01,5.744660005439072847e-02,5.180339992512017488e-02,5.209750006906688213e-02
1.092849998967722058e-01,5.613869999069720507e-02,5.180609994567930698e-02,5.366650002542883158e-02
9.580989996902644634e-02,6.567489996086806059e-02,5.133249994833022356e-02,5.667710001580417156e-02
9.976020001340657473e-02,6.764170003589242697e-02,5.293819995131343603e-02,6.209060002584010363e-02
9.723529999610036612e-02,6.078109994996339083e-02,5.531930003780871630e-02,5.746820010244846344e-02
8.902960002887994051e-02,5.646320001687854528e-02,5.722830002196133137e-02,5.512849998194724321e-02
9.385499998461455107e-02,5.678300000727176666e-02,5.567089992109686136e-02,6.075710000004619360e-02
9.973669995088130236e-02,5.676429998129606247e-02,5.175099999178200960e-02,6.098729989025741816e-02
9.813120006583631039e-02,5.656769999768584967e-02,5.347090004943311214e-02,5.627459997776895761e-02
9.735249995719641447e-02,5.876219994388520718e-02,5.295949999708682299e-02,5.356299993582069874e-02
8.832680003251880407e-02,5.536170001141726971e-02,5.897690006531774998e-02,5.291670002043247223e-02
9.380859998054802418e-02,5.693560000509023666e-02,5.187950003892183304e-02,6.220799998845905066e-02
9.173650003504008055e-02,6.558079994283616543e-02,5.328440002631396055e-02,5.944829992949962616e-02
9.865429997444152832e-02,5.814470001496374607e-02,5.671190004795789719e-02,5.665550008416175842e-02
9.274329990148544312e-02,5.833590007387101650e-02,5.321519996505230665e-02,6.017389998305588961e-02
1.004347999114543200e-01,5.977260007057338953e-02,5.402450007386505604e-02,5.359999998472630978e-02
9.135609993245452642e-02,5.910820001736283302e-02,5.165559996385127306e-02,5.963189993053674698e-02
1.039655999047681689e-01,6.119119992945343256e-02,5.324689997360110283e-02,5.471709999255836010e-02
9.968480002135038376e-02,5.706229992210865021e-02,5.273610004223883152e-02,5.522510001901537180e-02
1.041270999703556299e-01,5.816249991767108440e-02,5.446909996680915356e-02,5.682259995955973864e-02
9.472239995375275612e-02,5.640050000511109829e-02,5.373489996418356895e-02,5.732019990682601929e-02
1.072347000008448958e-01,5.562489992007613182e-02,5.496330000460147858e-02,5.328290001489222050e-02
1.040550000034272671e-01,5.769960000179708004e-02,5.535849998705089092e-02,6.728260009549558163e-02
8.674009994138032198e-02,5.799310002475976944e-02,5.290820007212460041e-02,6.197589996736496687e-02
