4.191349726170301437e-04,3.162740031257271767e-04,3.444920293986797333e-04,3.107759985141456127e-04
5.453449557535350323e-04,2.254199935123324394e-04,1.267080078832805157e-04,1.516619813628494740e-04
2.390419831499457359e-04,1.497530029155313969e-04,1.201240229420363903e-04,1.457619946449995041e-04
2.877850201912224293e-04,1.478960039094090462e-04,1.498840283602476120e-04,1.319110160693526268e-04
3.096800064668059349e-04,2.214480191469192505e-04,1.223779981955885887e-04,1.300370204262435436e-04
2.760080387815833092e-04,1.631589839234948158e-04,1.174010103568434715e-04,1.279340358451008797e-04
2.541750436648726463e-04,2.270650002174079418e-04,1.340329763479530811e-04,1.289260108023881912e-04
2.499819966033101082e-04,1.431109849363565445e-04,1.325949560850858688e-04,1.347180223092436790e-04
3.329149913042783737e-04,1.395660219714045525e-04,1.119990483857691288e-04,1.334120170213282108e-04
1.977230422198772430e-04,1.369850360788404942e-04,1.086400006897747517e-04,1.405139919370412827e-04
2.932050265371799469e-04,2.329190028831362724e-04,1.297999988310039043e-04,1.292760134674608707e-04
2.763550146482884884e-04,1.500379876233637333e-04,1.401610206812620163e-04,1.350790262222290039e-04
2.129190252162516117e-04,1.363260089419782162e-04,1.182259875349700451e-04,1.592460321262478828e-04
2.401410019956529140e-04,1.261339639313519001e-04,1.129350275732576847e-04,1.309890067204833031e-04
1.731729716993868351e-04,1.281130244024097919e-04,1.863689976744353771e-04,2.079840051010251045e-04
1.796290162019431591e-04,1.277410192415118217e-04,1.290729851461946964e-04,1.271510263904929161e-04
1.448899856768548489e-04,1.279060379602015018e-04,1.374610001221299171e-04,1.513369497843086720e-04
2.001139800995588303e-04,1.301430165767669678e-04,1.339579466730356216e-04,1.220119884237647057e-04
1.726379850879311562e-04,1.548890140838921070e-04,1.295330002903938293e-04,1.828140229918062687e-04
1.826160005293786526e-04,1.353530096821486950e-04,1.324940240010619164e-04,2.463750424794852734e-04
1.513140159659087658e-04,1.249769702553749084e-04,1.291459775529801846e-04,1.989179872907698154e-04
1.595019712112843990e-04,1.226280000992119312e-04,1.219059922732412815e-04,1.337249996140599251e-04
1.798899611458182335e-04,1.289159990847110748e-04,1.454419689252972603e-04,1.309940125793218613e-04
1.638959511183202267e-04,1.261330326087772846e-04,1.215409720316529274e-04,1.595639623701572418e-04
1.639380352571606636e-04,1.253719674423336983e-04,1.922399969771504402e-04,1.234159572049975395e-04
1.756529673002660275e-04,1.248680055141448975e-04,1.543069956824183464e-04,1.224539591930806637e-04
3.287240397185087204e-04,1.184159773401916027e-04,1.234840019606053829e-04,1.485780230723321438e-04
2.585779875516891479e-04,1.204499858431518078e-04,1.236539683304727077e-04,1.330950180999934673e-04
1.415630104020237923e-04,1.190860057249665260e-04,1.355800195597112179e-04,1.238699769601225853e-04
2.691429690457880497e-04,1.271519577130675316e-04,1.233079819940030575e-04,1.592750195413827896e-04
1.496089971624314785e-04,1.309529761783778667e-04,1.286729821003973484e-04,1.567190047353506088e-04
1.544990227557718754e-04,1.328489743173122406e-04,1.248519984073936939e-04,1.266499748453497887e-04
1.423130161128938198e-04,1.252560177817940712e-04,1.444140216335654259e-04,1.389330136589705944e-04
2.034950302913784981e-04,1.180269755423069000e-04,1.455749734304845333e-04,1.249750494025647640e-04
1.348300138488411903e-04,1.134460326284170151e-04,1.908189733512699604e-04,2.006400027312338352e-04
1.582240220159292221e-04,1.192920026369392872e-04,1.333840191364288330e-04,1.282410230487585068e-04
1.350560341961681843e-04,1.155830104835331440e-04,1.284500467590987682e-04,1.220380072481930256e-04
1.417039893567562103e-04,1.339000300504267216e-04,1.287700142711400986e-04,1.253270311281085014e-04
1.558359945192933083e-04,1.240930287167429924e-04,1.289239735342562199e-04,1.313600223511457443e-04
1.484450185671448708e-04,1.303579774685204029e-04,1.248620101250708103e-04,1.670680358074605465e-04
1.689799828454852104e-04,1.264289603568613529e-04,1.435590093024075031e-04,1.518409699201583862e-04
1.560329692438244820e-04,1.255369861610233784e-04,1.222169958055019379e-04,1.516379998065531254e-04
1.370059908367693424e-04,1.327960053458809853e-04,1.890219864435493946e-04,1.275120303034782410e-04
2.806500415317714214e-04,1.388670061714947224e-04,1.223309664055705070e-04,1.213389914482831955e-04
2.359669888392090797e-04,1.401560148224234581e-04,2.637620200403034687e-04,1.271520159207284451e-04
2.090340130962431431e-04,1.977920182980597019e-04,1.974669867195188999e-04,1.214590156450867653e-04
3.375860396772623062e-04,1.295930123887956142e-04,1.371559919789433479e-04,1.815650030039250851e-04
2.192189567722380161e-04,1.295169931836426258e-04,1.242900034412741661e-04,1.596740330569446087e-04
2.773549640551209450e-04,1.491780276410281658e-04,1.182690029963850975e-04,1.208320027217268944e-04
1.780510065145790577e-04,1.347889774478971958e-04,1.339630107395350933e-04,1.217909739352762699e-04
1.581920078024268150e-04,1.364049967378377914e-04,1.268039923161268234e-04,1.184219727292656898e-04
1.579719828441739082e-04,1.450899871997535229e-04,1.475029857829213142e-04,1.175540382973849773e-04
2.052990021184086800e-04,1.381909823976457119e-04,1.267470070160925388e-04,1.154630444943904877e-04
